"Код";"Наименование";"Наличие";"Цена";"Полное описание";"Категория";"Фотография";"Производитель";"Название";"Артикул";"Гарантия";"Ресурс при 5% заполнении";"Тип";"Цвет печати";"Совместимость";"Категория";"Технология печати";"Для бренда";"Фасовка";"Тип чернил";"Штук в упаковке";"Размер";"Формат";"Плотность";"Белизна";"Тип фотобумаги";"Количество картриджей"
00000005270;Тонер-картридж Xerox 106R01446 Black для Xerox Phaser 7500 (O);Нет;9 630;;Картриджи;5b9f7dc0-113e-11e3-8d49-001e67062bc8;Xerox;;;От производителя;19800 стр.;Оригинальный;Черный (для цветных устройств);Для Xerox Phaser 7500;Картриджи;Лазерная;;;;;;;;;;
00000005271;Тонер-картридж Xerox 106R01440 Cyan для Xerox Phaser 7500 (O);Нет;12 470;;Картриджи;5b9f7dc2-113e-11e3-8d49-001e67062bc8;Xerox;;;От производителя;9600 стр.;Оригинальный;Голубой (Cyan);Для Xerox Phaser 7500;Картриджи;Лазерная;;;;;;;;;;
00000005272;Тонер-картридж Xerox 106R01441 Magenta для Xerox Phaser 7500 (O);Нет;12 470;;Картриджи;5b9f7dc4-113e-11e3-8d49-001e67062bc8;Xerox;;;От производителя;9600 стр.;Оригинальный;Пурпурный (Magenta);Для Xerox Phaser 7500;Картриджи;Лазерная;;;;;;;;;;
00000005273;Тонер-картридж Xerox 106R01442 Yellow для Xerox Phaser 7500 (O);Нет;12 470;;Картриджи;5b9f7dc6-113e-11e3-8d49-001e67062bc8;Xerox;;;От производителя;9600 стр.;Оригинальный;Желтый (Yellow);Для Xerox Phaser 7500;Картриджи;Лазерная;;;;;;;;;;
00000005149;Тонер-картридж Samsung CLT-K407S Black (O) (1500 стр.);Нет;;;Картриджи;bd978533-04b3-11e3-8d63-001e67062bc9;Samsung;;;От производителя;1500 стр.;Оригинальный;Черный (для цветных устройств);Для Samsung CLP-320/325 // МФУ Samsung CLX-3180/3185;Картриджи;Лазерная;;;;;;;;;;
00000005150;Тонер-картридж Samsung CLT-C407S Cyan (O) (1000 стр.);Нет;;;Картриджи;bd978535-04b3-11e3-8d63-001e67062bc9;Samsung;;;От производителя;1000 стр.;Оригинальный;Голубой (Cyan);Для Samsung CLP-320/325 // МФУ Samsung CLX-3180/3185;Картриджи;Лазерная;;;;;;;;;;
00000005151;Тонер-картридж Samsung CLT-M407S Magenta (O) (1000 стр.);Нет;;;Картриджи;bd978537-04b3-11e3-8d63-001e67062bc9;Samsung;;;От производителя;1000 стр.;Оригинальный;Пурпурный (Magenta);Для Samsung CLP-320/325 // МФУ Samsung CLX-3180/3185;Картриджи;Лазерная;;;;;;;;;;
00000005152;Тонер-картридж Samsung CLT-Y407S Yellow (O) (1000 стр.);Нет;;;Картриджи;bd978539-04b3-11e3-8d63-001e67062bc9;Samsung;;;От производителя;1000 стр.;Оригинальный;Желтый (Yellow);Для Samsung CLP-320/325 // МФУ Samsung CLX-3180/3185;Картриджи;Лазерная;;;;;;;;;;
00000001297;Тонер-картридж Samsung CLT-C409S Cyan (O) (1000 стр.);Да;1 730;;Картриджи;8a7bfee6-dd82-11de-9e7d-00804842e01d;Samsung;;;От производителя;1000 стр.;Оригинальный;Голубой (Cyan);Для Samsung CLP-310/310N/315 // Для МФУ CLX-3170FN/3175;Картриджи;Лазерная;;;;;;;;;;
00000001298;Тонер-картридж Samsung CLT-M409S Magenta (O) (1000 стр.);Да;1 730;;Картриджи;8a7bfee9-dd82-11de-9e7d-00804842e01d;Samsung;;;От производителя;1000 стр.;Оригинальный;Пурпурный (Magenta);Для Samsung CLP-310/310N/315 // Для МФУ CLX-3170FN/3175;Картриджи;Лазерная;;;;;;;;;;
00000001299;Тонер-картридж Samsung CLT-Y409S Yellow (O) (1000 стр.);Да;1 730;;Картриджи;8a7bfeed-dd82-11de-9e7d-00804842e01d;Samsung;;;От производителя;1000 стр.;Оригинальный;Желтый (Yellow);Для Samsung CLP-310/310N/315 // Для МФУ CLX-3170FN/3175;Картриджи;Лазерная;;;;;;;;;;
00000002265;Тонер-картридж Samsung CLT-K409S Black (O) (1500 стр.);Нет;1 750;;Картриджи;f70d6ec0-b0ee-11df-9b43-baea0af8878d;Samsung;;;От производителя;1500 стр.;Оригинальный;Черный (для цветных устройств);Для Samsung CLP-310/310N/315 // Для МФУ CLX-3170FN/3175;Картриджи;Лазерная;;;;;;;;;;
00000001137;Тонер-картридж Samsung CLP-K300A Black (O) (2000 стр.);Нет;;;Картриджи;37e95250-ae53-11de-9e4e-00804842e01d;Samsung;;;От производителя;2000 стр.;Оригинальный;Черный (для цветных устройств);Для Samsung CLP-300 // Samsung CLX-2160/2160N/3160/3160FN;Картриджи;Лазерная;;;;;;;;;;
00000004594;Картридж OKI 01279001 (O) (15000 стр.);Нет;9 900;;Картриджи;a2139d19-96bf-11e2-9943-001e67062bc9;Oki;;;От производителя;15000 стр.;Оригинальный;Черный (для монохромных устройств);Для OKI B710/B720/B730;Картриджи;Лазерная;;;;;;;;;;
00000000170;Картридж Samsung SCX-4216D3 (О) (3000 стр.);Нет;;;Картриджи;a3ea9a1f-aeff-11dd-a3f9-00804842e01d;Samsung;;;От производителя;3000 стр.;Оригинальный;Черный (для монохромных устройств);Для Samsung SCX-4016/4116/4216F // Samsung SF-560/750/750P;Картриджи;Лазерная;;;;;;;;;;
00000000228;Картридж Samsung SCX-D4200A (О) (3000 стр.);Да;2 880;;Картриджи;0953e224-e308-11dd-a44a-00804842e01d;Samsung;;;От производителя;3000 стр.;Оригинальный;Черный (для монохромных устройств);Для Samsung SCX-4200/4220;Картриджи;Лазерная;;;;;;;;;;
00000000344;Картридж Samsung ML-1210D3 (O) (2500 стр.);Нет;;;Картриджи;15460662-028c-11de-a46f-00804842e01d;Samsung;;;От производителя;2500 стр.;Оригинальный;Черный (для монохромных устройств);Для Samsung ML-1010/1020M/1210/1220/1250/1430;Картриджи;Лазерная;;;;;;;;;;
00000000385;Картридж Samsung MLT-D108S (O) (1500 стр.);Нет;2 020;;Картриджи;a940908e-192b-11de-a48b-00804842e01d;Samsung;;;От производителя;1500 стр.;Оригинальный;Черный (для монохромных устройств);Для Samsung ML-1640/1641/1645/2240/2241;Картриджи;Лазерная;;;;;;;;;;
00000000418;Картридж Samsung ML-D1630A (O) (2000 стр.);Нет;;;Картриджи;87728cb8-25b2-11de-a4a2-00804842e01d;Samsung;;;От производителя;2000 стр.;Оригинальный;Черный (для монохромных устройств);Для Samsung ML-1630 // Samsung SCX-4500;Картриджи;Лазерная;;;;;;;;;;
00000000879;Картридж Samsung SCX-D4100D3 (O) (3000 стр.);Да;2 370;;Картриджи;0d117424-907f-11de-9d7f-001966c0e0d0;Samsung;;;От производителя;3000 стр.;Оригинальный;Черный (для монохромных устройств);Для Samsung SCX-4100;Картриджи;Лазерная;;;;;;;;;;
00000001124;Картридж Samsung SCX-D4720D3 (O) (3000 стр.);Да;3 300;;Картриджи;4ff97cd6-a680-11de-9d95-001966c0e0d0;Samsung;;;От производителя;3000 стр.;Оригинальный;Черный (для монохромных устройств);Для Samsung SCX-4520/4720F/4720FN;Картриджи;Лазерная;;;;;;;;;;
00000001283;Картридж Samsung ML-2010D3 (О) (3000 стр.);Да;2 600;;Картриджи;0d942c73-d8f6-11de-9e79-00804842e01d;Samsung;;;От производителя;3000 стр.;Оригинальный;Черный (для монохромных устройств);Для Samsung ML-2010/2015/2020/2510/2570/2571N;Картриджи;Лазерная;;;;;;;;;;
00000001284;Картридж Samsung SCX-4521D3 (О) (3000 стр.);Да;2 430;;Картриджи;0d942c76-d8f6-11de-9e79-00804842e01d;Samsung;;;От производителя;3000 стр.;Оригинальный;Черный (для монохромных устройств);Для Samsung SCX-4321/4521F;Картриджи;Лазерная;;;;;;;;;;
00000001554;Картридж Samsung MLT-D209S (O) (2000 стр.);Да;2 760;;Картриджи;c60a911e-26aa-11df-a6a6-001966c0e0d0;Samsung;;;От производителя;2000 стр.;Оригинальный;Черный (для монохромных устройств);Для Samsung ML-2855ND // Samsung SCX-4824FN/4828FN;Картриджи;Лазерная;;;;;;;;;;
00000001819;Картридж Samsung MLT-D105S (O) (1500 стр.);Да;2 390;;Картриджи;3c6aa654-6c75-11df-9afb-cc316afb9821;Samsung;;;От производителя;1500 стр.;Оригинальный;Черный (для монохромных устройств);Для Samsung ML-1910/1915/2525/2580N //  Samsung SCX-4600/4623F // Samsung SF-650;Картриджи;Лазерная;;;;;;;;;;
00000001845;Картридж Samsung SCX-D4725A (O) (3000 стр.);Нет;;;Картриджи;705b898d-6f9d-11df-9aff-a71dc03fd85b;Samsung;;;От производителя;3000 стр.;Оригинальный;Черный (для монохромных устройств);Для Samsung SCX-4725FN;Картриджи;Лазерная;;;;;;;;;;
00000002355;Картридж Samsung MLT-D109S (O) (2000 стр.);Нет;2 320;;Картриджи;c785862e-c47a-11df-9b5c-a78cf24d357a;Samsung;;;От производителя;2000 стр.;Оригинальный;Черный (для монохромных устройств);Для Samsung SCX-4300;Картриджи;Лазерная;;;;;;;;;;
00000002362;Картридж Samsung MLT-D209L (O) (5000 стр.);Да;3 910;;Картриджи;1d4ec342-c6d6-11df-9b60-a2fab344e102;Samsung;;;От производителя;5000 стр.;Оригинальный;Черный (для монохромных устройств);Для Samsung ML-2855ND // Samsung SCX-4824FN/4828FN;Картриджи;Лазерная;;;;;;;;;;
00000002387;Картридж Samsung ML-1520D3 (О) (3000 стр.);Нет;;;Картриджи;230f0b5f-d075-11df-a78c-001966c0e0d0;Samsung;;;От производителя;3000 стр.;Оригинальный;Черный (для монохромных устройств);Для Samsung ML-1520/1520P;Картриджи;Лазерная;;;;;;;;;;
00000002508;Картридж Samsung MLT-D105L (O) (2500 стр.);Нет;3 170;;Картриджи;46e278c7-ed91-11df-bc70-90e6ba527f86;Samsung;;;От производителя;2500 стр.;Оригинальный;Черный (для монохромных устройств);Для Samsung ML-1910/1915/2525/2580N //  Samsung SCX-4600/4623F // Samsung SF-650;Картриджи;Лазерная;;;;;;;;;;
00000002536;Картридж Samsung ML-D2850B (O) (5000 стр.);Нет;;;Картриджи;fa83d6af-0115-11e0-a7c6-001966c0e0d0;Samsung;;;От производителя;5000 стр.;Оригинальный;Черный (для монохромных устройств);Для Samsung ML-2850D/2851ND;Картриджи;Лазерная;;;;;;;;;;
00000002846;Картридж Samsung MLT-D104S (O) (1500 стр.);Да;2 720;;Картриджи;3c13e366-7630-11e0-948c-90e6ba527f86;Samsung;;;От производителя;1500 стр.;Оригинальный;Черный (для монохромных устройств);Для Samsung ML-1660/1665/1667/1670/1671/1675/1677/1860/1865/1867 // Samsung SCX-3200/3205/3207;Картриджи;Лазерная;;;;;;;;;;
00000003340;Картридж Samsung MLT-D205S (O) (2000 стр.);Нет;3 290;;Картриджи;5e47f008-216d-11e1-9a6e-001e67062bc8;Samsung;;;От производителя;2000 стр.;Оригинальный;Черный (для монохромных устройств);Для Samsung ML-3310/3710 // Для МФУ SCX-4833F/5637F;Картриджи;Лазерная;;;;;;;;;;
00000003341;Картридж Samsung MLT-D205L (O) (5000 стр.);Нет;5 490;;Картриджи;5e47f00a-216d-11e1-9a6e-001e67062bc8;Samsung;;;От производителя;5000 стр.;Оригинальный;Черный (для монохромных устройств);Для Samsung ML-3310/3710 // Для МФУ SCX-4833F/5637F;Картриджи;Лазерная;;;;;;;;;;
00000003342;Картридж Samsung MLT-D205E (O) (10000 стр.);Нет;;;Картриджи;5e47f00c-216d-11e1-9a6e-001e67062bc8;Samsung;;;От производителя;10000 стр.;Оригинальный;Черный (для монохромных устройств);Для Samsung ML-3710 // Samsung SCX-5637F;Картриджи;Лазерная;;;;;;;;;;
00000003343;Картридж Samsung MLT-D208S (O) (4000 стр.);Нет;;;Картриджи;5e47f00f-216d-11e1-9a6e-001e67062bc8;Samsung;;;От производителя;4000 стр.;Оригинальный;Черный (для монохромных устройств);Для Samsung SCX-5635FN/5835FN;Картриджи;Лазерная;;;;;;;;;;
00000003344;Картридж Samsung MLT-D208L (O) (8000 стр.);Нет;;;Картриджи;5e47f011-216d-11e1-9a6e-001e67062bc8;Samsung;;;От производителя;8000 стр.;Оригинальный;Черный (для монохромных устройств);Для Samsung SCX-5635FN/5835FN;Картриджи;Лазерная;;;;;;;;;;
